1828,3222,2538,3301,2616,3929,1411,3200,2702,4034,2805,2015,2706,3519,4167,2985,3760,1269,2166,3169,6052,4116,2771,2714,3606,1818,3990,4907,2023,6981,4070,2282
1753,3142,2446,3200,3328,4144,1423,3250,2842,4096,2759,2072,5247,1747,4045,3010,3592,1240,2179,3070,6133,4165,2805,2587,3667,1896,3877,4803,1924,6840,4009,2134
1919,3233,2757,3149,3677,4158,1425,3130,2849,4089,2771,2107,5341,3551,1970,2871,3512,1274,2087,3026,5991,3966,2717,2663,3433,1920,3784,4903,2007,6661,4079,2279
1960,3129,2399,3147,3090,4246,1371,3132,2851,4095,2876,2022,5572,3548,4306,1528,3764,1260,2096,2813,6052,4075,2718,2531,3547,1723,3918,4880,1934,6899,3976,2280
1892,3151,2527,3134,3931,4140,1436,2970,2528,4193,2853,2059,5522,3532,4324,2800,1766,1257,1924,3059,5985,4134,2773,2492,3260,1652,3755,4866,2072,7177,4057,2106
1956,3266,2461,3183,3239,3970,1385,3298,2624,3990,2791,2094,5502,3466,4284,2906,3725,688,2207,3100,6005,4052,2838,2406,3395,1846,3917,4947,2032,6749,4037,2225
1916,3200,2598,3141,3006,4086,1324,3217,2701,4037,2922,2040,5456,3588,4194,2995,3527,1362,1092,2984,5964,4011,2704,2536,3611,1859,3986,4966,2030,6904,3989,2253
1847,3271,2536,3169,3420,4062,1484,3125,2783,4131,2740,2050,5401,3432,4331,2860,3738,1257,1995,1435,5976,3969,2718,2627,3574,1744,3879,4913,1993,6928,4057,2132
1829,3256,2725,3164,3382,4054,1335,3190,2825,4051,2751,2155,5250,3610,4080,2940,3587,1305,2192,3269,2923,4140,2861,2596,3626,1858,3820,4756,1843,6521,4093,2219
2182,3223,2493,3169,3156,3919,1411,3133,2765,4079,2804,2092,5424,3515,4160,2946,3551,1295,2031,3156,6018,2041,2794,2566,3647,1782,3810,4753,2165,6902,4089,2195
1827,3302,2538,3286,3105,3985,1484,3231,2598,4085,2566,2043,5506,3656,4168,3078,3821,1306,2108,3096,5998,4097,1346,2563,3730,1758,3793,4776,1956,6721,3988,2269
1968,3386,2510,3177,3426,4230,1332,3205,2991,4001,2963,2041,5455,3622,4212,2939,3567,1214,2107,2897,5833,3994,2779,1260,3491,1892,3810,4803,2092,6618,3866,2289
2029,3295,2508,3445,2841,4320,1404,3122,2849,4031,2785,2198,5313,3541,4145,2952,3657,1220,2059,3064,5951,4062,2911,2608,1753,1973,3914,4793,2075,6581,3795,2215
2057,3292,2408,3211,3024,4123,1386,3033,2743,4038,2902,2033,5574,3507,4339,3018,3685,1266,2028,2903,6033,4038,2864,2444,3407,982,3844,4722,1983,7001,4043,2384
