42,7,52,10,24,10,28,32,8,5,2,6,10,72,56,69,17,2,1,36,34,6,23,62,25,6,16,35,18,17,17,47,11,57,8,31,23,46,9,140,28,6,34,0,84,47,26,50,66,8,25,17,0,101,27,25,42,35,6,28,0,96,10,19,4,120,31,15,6,0,27,5,103,41,41,16,2,6,35,34,4,21,23,16,13,1,23,17,38,5,24,1,16,95,2,15,1,13,18,19,165,144,19,25,144,84,14,68,24,37,45,24,76,111,6,6,19,25,3,50,31,15,3,92,17,13,4,81
45,8,56,10,33,9,24,19,2,4,3,5,11,76,56,74,14,2,0,33,28,1,18,76,31,14,13,44,17,24,13,49,11,46,8,46,20,47,9,144,16,8,28,2,75,51,35,48,57,12,19,29,0,78,17,27,35,25,6,18,0,74,3,19,2,127,35,27,6,2,33,5,99,37,54,22,4,6,16,27,10,17,24,17,16,0,21,17,42,5,26,0,13,104,0,21,1,18,22,15,161,167,23,37,151,67,11,64,22,52,47,26,56,114,6,11,13,25,9,59,27,20,4,94,23,14,3,74
50,6,55,7,33,8,23,34,3,9,2,4,19,79,65,62,11,2,0,39,37,3,21,59,20,9,15,37,15,14,15,46,16,40,5,38,22,63,12,156,26,16,33,0,77,57,37,52,54,14,19,25,1,84,23,18,50,22,6,18,0,79,4,12,3,142,27,16,6,4,36,3,91,37,42,12,4,8,38,28,6,12,22,24,12,0,12,16,40,3,21,0,9,120,0,15,0,16,20,18,165,171,18,33,147,73,16,70,13,51,31,31,74,97,4,6,20,26,1,44,48,17,4,79,16,18,8,71
45,9,52,14,19,8,25,25,4,10,6,4,13,85,74,50,17,5,0,26,29,6,21,68,19,10,11,25,14,23,16,37,16,43,6,31,22,54,12,171,22,6,22,6,75,49,24,50,62,16,23,13,1,85,14,19,44,29,7,22,0,91,5,18,1,117,36,19,7,4,38,5,91,53,42,15,2,6,30,34,1,9,14,18,11,0,17,20,41,5,30,0,10,125,0,16,0,23,20,19,164,150,13,36,140,85,19,64,23,57,40,26,75,114,2,11,16,28,2,58,45,20,5,94,19,13,1,69
41,8,47,6,27,7,24,27,8,7,2,6,15,82,60,55,20,2,2,34,39,6,25,63,22,9,19,34,18,19,12,37,14,37,6,26,21,44,14,156,30,9,20,2,82,42,38,54,51,21,28,14,1,77,12,22,47,29,10,24,0,92,4,12,0,114,36,8,10,3,36,7,108,46,32,12,1,3,32,37,6,18,18,17,16,0,17,20,54,4,29,0,14,129,0,18,2,23,20,14,169,149,18,36,140,83,16,61,20,44,47,30,73,111,5,15,16,30,5,57,25,19,1,82,23,16,5,74
37,9,52,7,26,7,30,26,4,6,4,6,17,74,59,70,17,1,0,33,37,6,21,65,22,8,16,32,22,19,18,48,15,50,10,38,27,39,13,149,31,7,24,1,82,41,35,60,55,19,18,17,0,77,20,24,51,29,10,24,0,76,6,22,2,121,31,12,9,3,40,3,87,38,37,13,1,2,42,35,2,13,24,13,15,2,16,21,58,9,26,0,12,121,0,11,1,16,21,16,162,147,16,41,152,69,17,61,27,50,38,35,76,103,4,10,23,28,3,57,22,15,4,73,20,13,5,83
36,8,48,10,26,4,29,19,1,7,1,8,18,76,67,65,14,1,2,35,34,5,25,82,25,9,15,37,16,22,14,52,11,43,3,34,19,49,8,152,24,11,36,2,75,54,35,54,48,17,23,18,0,87,22,34,37,26,8,19,0,64,8,18,1,117,32,12,12,3,42,5,103,32,42,16,1,4,26,35,4,16,22,23,22,1,15,25,55,5,26,0,13,113,0,17,0,22,16,16,165,136,21,34,151,65,21,68,26,60,38,31,61,108,5,11,18,26,1,52,35,23,1,73,25,14,5,78
44,9,44,10,24,6,22,24,4,4,10,7,12,65,74,67,13,1,0,36,32,4,33,64,27,10,15,40,16,18,16,43,16,37,8,31,18,45,8,149,27,9,36,1,78,53,33,53,57,11,31,20,0,72,20,24,53,22,8,18,0,87,8,20,0,108,27,16,13,4,44,4,90,34,41,20,2,6,39,28,7,14,20,25,19,2,25,22,49,7,27,0,16,113,1,13,0,16,17,17,171,173,17,33,147,81,13,64,26,42,46,28,64,105,7,13,16,23,6,47,30,17,2,81,22,11,5,73
44,10,54,9,40,7,34,18,3,6,7,7,14,70,74,72,14,4,0,30,21,3,18,60,30,12,11,45,11,21,11,56,15,40,9,32,27,42,12,149,26,11,25,3,83,48,35,53,57,15,24,26,0,75,26,23,28,34,3,20,0,76,9,20,0,118,29,14,8,6,37,3,104,32,32,19,2,3,28,30,9,16,13,22,14,2,16,23,49,6,23,1,16,126,1,19,2,16,14,25,175,157,24,34,143,73,10,60,20,44,49,28,66,112,5,15,9,27,1,54,29,25,2,82,22,10,5,75
38,4,53,7,32,4,30,21,8,10,3,4,17,76,63,65,16,3,0,38,26,2,23,82,29,8,11,46,13,19,20,51,13,57,7,26,17,52,6,151,32,10,34,1,77,50,36,57,62,15,22,15,0,64,19,20,35,29,6,22,0,67,8,17,2,116,34,11,9,6,37,3,104,41,30,15,2,3,26,30,8,12,18,23,13,4,12,31,46,4,28,0,12,120,0,23,1,15,18,28,176,154,21,35,144,62,17,56,19,55,55,34,71,93,2,13,14,18,5,61,35,21,0,83,25,8,7,78
